Date,Amount,Category,Description
2025-09-01,88.88,Health,Vitamins
2025-09-05,341.18,Food,Snacks
2025-09-07,285.04,Health,Vitamins
2025-09-07,335.17,Shopping,Home goods
2025-09-08,287.81,Health,Pharmacy
2025-09-08,42.46,Other,Miscellaneous
2025-09-08,125.12,Transport,Uber/Lyft
2025-09-09,60.72,Transport,Uber/Lyft
2025-09-10,166.47,Transport,Bus ticket
2025-09-10,345.32,Transport,Uber/Lyft
2025-09-10,332.65,Other,Donation
2025-09-14,89.26,Entertainment,Movie tickets
2025-09-15,233.61,Food,Coffee Shop
2025-09-16,143.5,Shopping,Home goods
2025-09-17,62.83,Other,Miscellaneous
2025-09-18,253.48,Food,Delivery
2025-09-19,40.87,Food,Snacks
2025-09-19,29.9,Food,Delivery
2025-09-19,231.49,Health,Pharmacy
2025-09-19,41.29,Health,Vitamins
2025-09-22,12.21,Utilities,Internet
2025-09-30,139.97,Food,Restaurant
2025-10-01,259.01,Food,Restaurant
2025-10-02,184.34,Entertainment,Movie tickets
2025-10-03,242.54,Utilities,Electricity bill
2025-10-03,205.17,Food,Groceries
2025-10-05,244.78,Transport,Train ticket
2025-10-05,121.95,Food,Groceries
2025-10-07,4.82,Health,Doctor visit
2025-10-08,307.67,Other,Donation
2025-10-08,194.85,Other,Donation
2025-10-10,301.56,Other,Miscellaneous
2025-10-13,214.09,Utilities,Internet
2025-10-16,274.52,Shopping,Shoes
2025-10-21,327.43,Entertainment,Video games
2025-10-23,338.84,Utilities,Phone bill
2025-10-24,219.43,Transport,Uber/Lyft
2025-10-27,265.36,Entertainment,Streaming Subscription
2025-10-28,292.26,Entertainment,Streaming Subscription
2025-10-28,250.19,Transport,Gas
2025-10-30,187.7,Entertainment,Movie tickets
2025-11-02,319.35,Health,Gym membership
2025-11-02,338.71,Shopping,Shoes
2025-11-04,332.1,Transport,Metro
2025-11-05,207.87,Health,Gym membership
2025-11-06,186.7,Entertainment,Streaming Subscription
2025-11-08,179.17,Utilities,Electricity bill
2025-11-09,34.54,Other,Gift
2025-11-11,279.57,Shopping,Shoes
2025-11-12,14.93,Food,Snacks
2025-11-13,44.22,Transport,Uber/Lyft
